ms_code,ms_name,PCA1,PCA2,year,cluster,gdp_pp,gdp_tot,pop
GRC,GREECE,-0.5268231133270139,-0.49936817447473786,1949,1,0.7676767676767677,0.6767676767676768,0.4646464646464647
GTM,GUATEMALA,-0.09477544681696498,0.012665356897874363,1949,0,0.4545454545454546,0.595959595959596,0.5976583607080117
HND,HONDURAS,-0.6066008871116996,-0.5861290103132242,1949,1,0.31313131313131315,0.4173392615968784,0.494949494949495
HTI,HAITI,-0.1419498754395429,0.953810396193434,1949,0,0.2019592009155964,0.30303030303030304,0.5252525252525253
IND,INDIA,0.5197263761343277,1.0237925534899015,1949,0,0.27272727272727276,0.9719865976796929,1.0
IRN,IRAN (ISLAMIC REPUBLIC OF),-0.4254838369810024,0.10486458869778834,1949,0,0.4040404040404041,0.7777777777777778,0.8989898989898991
IRQ,IRAQ,-0.3085067867099105,0.37917258244942287,1949,0,0.4444444444444445,0.686868686868687,0.7968312089165054
ISL,ICELAND,-0.461148986979337,-0.13064260655005985,1949,1,0.9494949494949496,0.39552433385644775,0.08080808080808081
ISR,ISRAEL,0.5802421070288067,1.7873286804329134,1949,2,0.8880623783374878,0.8362385274346469,0.44740071046472935
LBN,LEBANON,-0.4051764482710584,0.16653935564835104,1949,0,0.33917328207583936,0.33333333333333337,0.3434343434343435
LBR,LIBERIA,0.2098415283682723,-0.5229430821073063,1949,0,0.071978973564154,0.13131313131313133,0.32323232323232326
LUX,LUXEMBOURG,-0.5236155753141075,-0.6319567221482097,1949,1,0.98989898989899,0.5712727519843749,0.12121212121212122
MEX,MEXICO,-0.4495669971977665,-0.20685330947304,1949,1,0.6565656565656566,0.9292929292929294,0.9400934391278268
MMR,MYANMAR,0.20911329507189946,1.7154338933942483,1949,2,0.14141414141414144,0.5050505050505051,0.8383838383838385
NIC,NICARAGUA,-0.5342905104836814,-0.3536005101006427,1949,1,0.29292929292929293,0.27272727272727276,0.38383838383838387
NLD,NETHERLANDS,-0.6182975130173223,-0.5972726062267476,1949,1,0.9292929292929294,0.8989898989898991,0.5839886559839527
NOR,NORWAY,-0.5129716423874946,-0.6546014826313571,1949,1,0.9718702471753256,0.8181818181818182,0.33333333333333337
NZL,NEW ZEALAND,-0.4916843213481377,-0.8580114486927982,1949,1,0.8686868686868687,0.696969696969697,0.30763098542243916
PAK,PAKISTAN,0.02918124136686545,1.5522502247805123,1949,2,0.16161616161616163,0.7304038580279077,0.9696969696969697
PAN,PANAMA,-0.5852854007112461,-0.3420631256335862,1949,1,0.70883871908059,0.5532582449119411,0.27272727272727276
PER,PERU,-0.4885855279661832,-0.6051240021473782,1949,1,0.5555555555555556,0.7070707070707072,0.7277082215597619
PHL,PHILIPPINES,-0.4469517084329614,-0.4445681193159238,1949,1,0.36363636363636365,0.797979797979798,0.9195516241915367
POL,POLAND,1.767023225714528,-0.7500782365122688,1949,3,0.7373737373737375,0.8787878787878789,0.7474747474747475
PRY,PARAGUAY,-0.1598219521674443,-0.11004153004232564,1949,0,0.48484848484848486,0.4467150973448469,0.393939393939394
SAU,SAUDI ARABIA,0.1893129257731082,1.09607636169466,1949,0,0.797979797979798,0.888888888888889,0.7171717171717172
SLV,EL SALVADOR,-0.4924964873280302,0.2221429115589937,1949,0,0.43434343434343436,0.4141414141414142,0.37373737373737376
SUN,USSR,1.7973356700035017,-0.8327809495774126,1949,3,,,
SWE,SWEDEN,-0.3110248430226935,-0.12135450020154319,1949,1,0.9191919191919192,0.8585858585858587,0.48040448114582596
SYR,SYRIAN ARAB REPUBLIC,-0.04294321900927551,0.8626897340604529,1949,0,0.12719692625169896,0.36363636363636365,0.6565656565656566
THA,THAILAND,0.11607214454805151,1.5952443152044002,1949,2,0.5252525252525253,0.8484848484848485,0.8810559953182191
TUR,TURKEY,-0.6203350739194524,-0.13539164094863831,1949,1,0.6464646464646465,0.8947868849222185,0.8917088014780146
