Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,Spain,ESP,46444832,46484062,46593236,46797754,47134837,47365655,47415794,47759127,48347910
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,20970000,21209000,21444000,21670000,21803000,21919000,22156000,22181000,22037000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47087,47075,47050,47008,46952,46870,46763,46709,46758
"Population, total",SP.POP.TOTL,St. Lucia,LCA,174905,175646,176342,177017,177661,178250,178522,178781,179285
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,37369,37175,36837,36012,34267,31786,29961,28870,27515
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,106960,106349,105663,104926,104167,103526,102841,102046,101323
"Population, total",SP.POP.TOTL,Sudan,SDN,40024431,41259892,42714306,44230596,45548175,46789231,48066924,49383346,50042791
"Population, total",SP.POP.TOTL,Suriname,SUR,581627,587757,593713,599513,605768,612317,617896,623164,628886
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1142813,1149507,1158195,1168929,1179874,1192729,1206593,1218917,1230506
"Population, total",SP.POP.TOTL,Sweden,SWE,9799186,9923085,10057698,10175214,10278887,10353442,10415811,10486941,10536632
"Population, total",SP.POP.TOTL,Switzerland,CHE,8282396,8373338,8451840,8514329,8575280,8638167,8704546,8777088,8888093
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,19424618,19193834,19224668,19577845,20353534,21049429,21628839,22462173,23594623
"Population, total",SP.POP.TOTL,Tajikistan,TJK,8643840,8865631,9085946,9307333,9529966,9749310,9966908,10182222,10389799
"Population, total",SP.POP.TOTL,Tanzania,TZA,52020962,53824013,55652890,57437145,59174891,60972798,62830412,64711821,66617606
"Population, total",SP.POP.TOTL,Thailand,THA,70540795,70859841,71160187,71376079,71522271,71641484,71727332,71735329,71702435
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1205131,1228312,1251703,1275959,1300945,1326053,1350139,1369295,1384286
"Population, total",SP.POP.TOTL,Togo,TGO,7663195,7858289,8057140,8258778,8463068,8669720,8878379,9089738,9304337
"Population, total",SP.POP.TOTL,Tonga,TON,106095,105524,105356,105567,105669,105704,105490,105042,104597
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1349667,1353895,1356633,1359193,1363985,1366725,1367558,1365805,1367510
"Population, total",SP.POP.TOTL,Tunisia,TUN,11402264,11528674,11650498,11765514,11875081,11974057,12048622,12119334,12200431
"Population, total",SP.POP.TOTL,Turkiye,TUR,78218479,79277962,80312698,81407204,82579440,83384680,84147318,84979913,85325965
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,6215770,6360041,6507061,6655524,6803944,6949912,7092043,7230193,7364438
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,36605,38315,39913,41559,43166,44386,45243,45847,46198
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10963,10930,10869,10751,10581,10399,10194,9992,9816
"Population, total",SP.POP.TOTL,Uganda,UGA,37531446,38799152,40177388,41565831,42999637,44457152,45910930,47312719,48656601
"Population, total",SP.POP.TOTL,Ukraine,UKR,45784896,45616832,45436041,45208907,44957458,44680014,44298640,41048766,37732836
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,8505237,8935095,9223225,9346701,9445785,9401038,9575152,10074977,10483751
"Population, total",SP.POP.TOTL,United Kingdom,GBR,65116219,65611593,66058859,66460344,66836327,67081234,67026292,67791000,68350000
"Population, total",SP.POP.TOTL,United States,USA,320738994,323071755,325122128,326838199,328329953,331526933,332048977,333271411,334914895
"Population, total",SP.POP.TOTL,Uruguay,URY,3368017,3379283,3388438,3394534,3397206,3398968,3396695,3390913,3388081
